Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-PASCO2
2021.01.28;02:36:33;20,3;36,0;6,3;509
2021.01.28;02:36:51;20,3;35,8;6,3;512
2021.01.28;02:37:09;20,3;35,9;6,3;501
2021.01.28;02:37:37;20,3;36,1;6,3;506
2021.01.28;02:37:56;20,3;36,0;6,3;508
2021.01.28;02:38:14;20,3;35,9;6,3;508
2021.01.28;02:38:32;20,3;35,9;6,3;510
2021.01.28;02:39:00;20,3;36,2;6,4;507
2021.01.28;02:39:18;20,3;35,9;6,3;499
2021.01.28;02:39:37;20,3;36,0;6,3;504
2021.01.28;02:39:55;20,3;35,9;6,3;505
2021.01.28;02:40:23;20,3;36,3;6,4;507
2021.01.28;02:40:41;20,3;36,0;6,3;501
2021.01.28;02:40:59;20,3;36,0;6,3;504
2021.01.28;02:41:18;20,3;35,8;6,3;516
2021.01.28;02:41:46;20,3;36,1;6,3;509
2021.01.28;02:42:04;20,3;36,3;6,4;506
2021.01.28;02:42:22;20,3;35,9;6,3;509
2021.01.28;02:42:41;20,3;35,8;6,3;498
2021.01.28;02:43:09;20,3;36,1;6,3;502
2021.01.28;02:43:27;20,3;36,0;6,3;509
2021.01.28;02:43:45;20,3;35,8;6,3;502
2021.01.28;02:44:03;20,3;35,8;6,3;510
2021.01.28;02:44:31;20,3;36,2;6,4;499
2021.01.28;02:44:50;20,3;35,9;6,3;502
2021.01.28;02:45:08;20,3;35,7;6,3;506
2021.01.28;02:45:26;20,3;35,9;6,3;508
2021.01.28;02:45:54;20,3;36,2;6,4;509
2021.01.28;02:46:12;20,3;35,8;6,3;500
2021.01.28;02:46:31;20,3;35,8;6,3;503
2021.01.28;02:46:49;20,3;35,8;6,3;504
2021.01.28;02:47:17;20,3;36,1;6,3;503
2021.01.28;02:47:35;20,3;35,9;6,3;496
2021.01.28;02:47:54;20,3;35,9;6,3;503
2021.01.28;02:48:12;20,3;35,8;6,3;511
2021.01.28;02:48:40;20,3;35,9;6,3;498
2021.01.28;02:48:58;20,3;35,9;6,3;504
2021.01.28;02:49:16;20,3;35,8;6,3;498
2021.01.28;02:49:35;20,3;35,7;6,3;505
2021.01.28;02:50:03;20,3;36,1;6,3;499
2021.01.28;02:50:21;20,3;36,0;6,3;504
2021.01.28;02:50:39;20,3;35,8;6,3;508
2021.01.28;02:50:58;20,3;36,1;6,3;502
2021.01.28;02:51:25;20,3;36,1;6,3;505
2021.01.28;02:51:44;20,3;36,1;6,3;494
2021.01.28;02:52:02;20,3;35,7;6,3;507
2021.01.28;02:52:20;20,3;35,9;6,3;507
2021.01.28;02:52:48;20,3;36,0;6,3;494
2021.01.28;02:53:07;20,3;35,8;6,3;511
2021.01.28;02:53:25;20,3;36,1;6,3;499
2021.01.28;02:53:43;20,3;35,9;6,3;499
2021.01.28;02:54:11;20,3;36,2;6,4;510
2021.01.28;02:54:29;20,3;36,1;6,3;497
2021.01.28;02:54:48;20,3;36,0;6,3;503
2021.01.28;02:55:06;20,4;35,8;6,3;500
2021.01.28;02:55:34;20,3;36,3;6,4;498
2021.01.28;02:55:52;20,3;35,8;6,3;503
2021.01.28;02:56:11;20,3;35,8;6,3;504
